album,photo_id,description,views,image,height,width,uploader,year,date
Zakończenie roku szkolnego 2005/06,34,"<div align=""center"" style=""margin:5px 0px 5px 0px"" class=""photogallery_photo_desc""><!--photogallery_photo_desc-->
Data: 15-11-2006<br>
Dodane przez: <a href=""profile.php?lookup=7"">witold_gromadzki</a><br>
Wymiary: 400 x 300 pikseli<br>
Rozmiar pliku: 32.94Kb<br>
Komentarzy: 0<br>
Ocena: Brak<br>
Liczba obejrzeń: 1022
</div>",1022,images/photoalbum/a4_photo_34.jpg,300,400,witold_gromadzki,2006,15-11-2006
Zakończenie roku szkolnego 2005/06,35,"<div align=""center"" style=""margin:5px 0px 5px 0px"" class=""photogallery_photo_desc""><!--photogallery_photo_desc-->
Data: 15-11-2006<br>
Dodane przez: <a href=""profile.php?lookup=7"">witold_gromadzki</a><br>
Wymiary: 400 x 300 pikseli<br>
Rozmiar pliku: 25.82Kb<br>
Komentarzy: 0<br>
Ocena: Brak<br>
Liczba obejrzeń: 965
</div>",965,images/photoalbum/a4_photo_35.jpg,300,400,witold_gromadzki,2006,15-11-2006
Zakończenie roku szkolnego 2005/06,36,"<div align=""center"" style=""margin:5px 0px 5px 0px"" class=""photogallery_photo_desc""><!--photogallery_photo_desc-->
Data: 15-11-2006<br>
Dodane przez: <a href=""profile.php?lookup=7"">witold_gromadzki</a><br>
Wymiary: 400 x 300 pikseli<br>
Rozmiar pliku: 20.77Kb<br>
Komentarzy: 0<br>
Ocena: Brak<br>
Liczba obejrzeń: 694
</div>",694,images/photoalbum/a4_photo_36.jpg,300,400,witold_gromadzki,2006,15-11-2006
Zakończenie roku szkolnego 2005/06,37,"<div align=""center"" style=""margin:5px 0px 5px 0px"" class=""photogallery_photo_desc""><!--photogallery_photo_desc-->
Data: 15-11-2006<br>
Dodane przez: <a href=""profile.php?lookup=7"">witold_gromadzki</a><br>
Wymiary: 400 x 300 pikseli<br>
Rozmiar pliku: 28.09Kb<br>
Komentarzy: 0<br>
Ocena: Brak<br>
Liczba obejrzeń: 681
</div>",681,images/photoalbum/a4_photo_37.jpg,300,400,witold_gromadzki,2006,15-11-2006
Zakończenie roku szkolnego 2005/06,38,"<div align=""center"" style=""margin:5px 0px 5px 0px"" class=""photogallery_photo_desc""><!--photogallery_photo_desc-->
Data: 15-11-2006<br>
Dodane przez: <a href=""profile.php?lookup=7"">witold_gromadzki</a><br>
Wymiary: 400 x 300 pikseli<br>
Rozmiar pliku: 26.94Kb<br>
Komentarzy: 0<br>
Ocena: Brak<br>
Liczba obejrzeń: 683
</div>",683,images/photoalbum/a4_photo_38.jpg,300,400,witold_gromadzki,2006,15-11-2006
Zakończenie roku szkolnego 2005/06,39,"<div align=""center"" style=""margin:5px 0px 5px 0px"" class=""photogallery_photo_desc""><!--photogallery_photo_desc-->
Data: 15-11-2006<br>
Dodane przez: <a href=""profile.php?lookup=7"">witold_gromadzki</a><br>
Wymiary: 400 x 300 pikseli<br>
Rozmiar pliku: 23.84Kb<br>
Komentarzy: 0<br>
Ocena: Brak<br>
Liczba obejrzeń: 653
</div>",653,images/photoalbum/a4_photo_39.jpg,300,400,witold_gromadzki,2006,15-11-2006
Zakończenie roku szkolnego 2005/06,40,"<div align=""center"" style=""margin:5px 0px 5px 0px"" class=""photogallery_photo_desc""><!--photogallery_photo_desc-->
Data: 15-11-2006<br>
Dodane przez: <a href=""profile.php?lookup=7"">witold_gromadzki</a><br>
Wymiary: 400 x 300 pikseli<br>
Rozmiar pliku: 30.48Kb<br>
Komentarzy: 0<br>
Ocena: Brak<br>
Liczba obejrzeń: 673
</div>",673,images/photoalbum/a4_photo_40.jpg,300,400,witold_gromadzki,2006,15-11-2006
Zakończenie roku szkolnego 2005/06,41,"<div align=""center"" style=""margin:5px 0px 5px 0px"" class=""photogallery_photo_desc""><!--photogallery_photo_desc-->
Data: 15-11-2006<br>
Dodane przez: <a href=""profile.php?lookup=7"">witold_gromadzki</a><br>
Wymiary: 400 x 300 pikseli<br>
Rozmiar pliku: 29.11Kb<br>
Komentarzy: 0<br>
Ocena: Brak<br>
Liczba obejrzeń: 638
</div>",638,images/photoalbum/a4_photo_41.jpg,300,400,witold_gromadzki,2006,15-11-2006
Zakończenie roku szkolnego 2005/06,42,"<div align=""center"" style=""margin:5px 0px 5px 0px"" class=""photogallery_photo_desc""><!--photogallery_photo_desc-->
Data: 15-11-2006<br>
Dodane przez: <a href=""profile.php?lookup=7"">witold_gromadzki</a><br>
Wymiary: 400 x 300 pikseli<br>
Rozmiar pliku: 33.52Kb<br>
Komentarzy: 0<br>
Ocena: Brak<br>
Liczba obejrzeń: 612
</div>",612,images/photoalbum/a4_photo_42.jpg,300,400,witold_gromadzki,2006,15-11-2006
Zakończenie roku szkolnego 2005/06,43,"<div align=""center"" style=""margin:5px 0px 5px 0px"" class=""photogallery_photo_desc""><!--photogallery_photo_desc-->
Data: 15-11-2006<br>
Dodane przez: <a href=""profile.php?lookup=7"">witold_gromadzki</a><br>
Wymiary: 400 x 300 pikseli<br>
Rozmiar pliku: 34.53Kb<br>
Komentarzy: 0<br>
Ocena: Brak<br>
Liczba obejrzeń: 607
</div>",607,images/photoalbum/a4_photo_43.jpg,300,400,witold_gromadzki,2006,15-11-2006
Zakończenie roku szkolnego 2005/06,44,"<div align=""center"" style=""margin:5px 0px 5px 0px"" class=""photogallery_photo_desc""><!--photogallery_photo_desc-->
Data: 15-11-2006<br>
Dodane przez: <a href=""profile.php?lookup=7"">witold_gromadzki</a><br>
Wymiary: 400 x 300 pikseli<br>
Rozmiar pliku: 34.29Kb<br>
Komentarzy: 0<br>
Ocena: Brak<br>
Liczba obejrzeń: 613
</div>",613,images/photoalbum/a4_photo_44.jpg,300,400,witold_gromadzki,2006,15-11-2006
Zakończenie roku szkolnego 2005/06,45,"<div align=""center"" style=""margin:5px 0px 5px 0px"" class=""photogallery_photo_desc""><!--photogallery_photo_desc-->
Data: 15-11-2006<br>
Dodane przez: <a href=""profile.php?lookup=7"">witold_gromadzki</a><br>
Wymiary: 400 x 300 pikseli<br>
Rozmiar pliku: 29.48Kb<br>
Komentarzy: 0<br>
Ocena: Brak<br>
Liczba obejrzeń: 591
</div>",591,images/photoalbum/a4_photo_45.jpg,300,400,witold_gromadzki,2006,15-11-2006
Zakończenie roku szkolnego 2005/06,46,"<div align=""center"" style=""margin:5px 0px 5px 0px"" class=""photogallery_photo_desc""><!--photogallery_photo_desc-->
Data: 15-11-2006<br>
Dodane przez: <a href=""profile.php?lookup=7"">witold_gromadzki</a><br>
Wymiary: 400 x 300 pikseli<br>
Rozmiar pliku: 30.21Kb<br>
Komentarzy: 0<br>
Ocena: Brak<br>
Liczba obejrzeń: 657
</div>",657,images/photoalbum/a4_photo_46.jpg,300,400,witold_gromadzki,2006,15-11-2006
Zakończenie roku szkolnego 2005/06,47,"<div align=""center"" style=""margin:5px 0px 5px 0px"" class=""photogallery_photo_desc""><!--photogallery_photo_desc-->
Data: 15-11-2006<br>
Dodane przez: <a href=""profile.php?lookup=7"">witold_gromadzki</a><br>
Wymiary: 400 x 300 pikseli<br>
Rozmiar pliku: 28.3Kb<br>
Komentarzy: 0<br>
Ocena: Brak<br>
Liczba obejrzeń: 616
</div>",616,images/photoalbum/a4_photo_47.jpg,300,400,witold_gromadzki,2006,15-11-2006
Zakończenie roku szkolnego 2005/06,48,"<div align=""center"" style=""margin:5px 0px 5px 0px"" class=""photogallery_photo_desc""><!--photogallery_photo_desc-->
Data: 15-11-2006<br>
Dodane przez: <a href=""profile.php?lookup=7"">witold_gromadzki</a><br>
Wymiary: 400 x 300 pikseli<br>
Rozmiar pliku: 26.92Kb<br>
Komentarzy: 0<br>
Ocena: Brak<br>
Liczba obejrzeń: 583
</div>",583,images/photoalbum/a4_photo_48.jpg,300,400,witold_gromadzki,2006,15-11-2006
Zakończenie roku szkolnego 2005/06,49,"<div align=""center"" style=""margin:5px 0px 5px 0px"" class=""photogallery_photo_desc""><!--photogallery_photo_desc-->
Data: 15-11-2006<br>
Dodane przez: <a href=""profile.php?lookup=7"">witold_gromadzki</a><br>
Wymiary: 400 x 300 pikseli<br>
Rozmiar pliku: 28.73Kb<br>
Komentarzy: 0<br>
Ocena: Brak<br>
Liczba obejrzeń: 619
</div>",619,images/photoalbum/a4_photo_49.jpg,300,400,witold_gromadzki,2006,15-11-2006
